FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9
53,C-5304,4BHK,3,34,36,38,40,42,44,46,48,50
54,C-5401,3BHK,2,32,34,36,38,40,42,44,46,48
54,C-5402,3BHK,2,32,34,36,38,40,42,44,46,48
54,C-5403,3BHK,2,32,34,36,38,40,42,44,46,48
54,C-5404,4BHK,3,32,34,36,38,40,42,44,46,48
55,C-5501,3BHK,2,30,32,34,36,38,40,42,44,46
55,C-5502,3BHK,2,30,32,34,36,38,40,42,44,46
55,C-5503,3BHK,2,30,32,34,36,38,40,42,44,46
55,C-5504,4BHK,3,30,32,34,36,38,40,42,44,46
56,C-5601,3BHK,2,28,30,32,34,36,38,40,42,44
56,C-5602,3BHK,2,28,30,32,34,36,38,40,42,44
56,C-5603,3BHK,2,28,30,32,34,36,38,40,42,44
56,C-5604,4BHK,3,28,30,32,34,36,38,40,42,44
57,C-5701,3BHK,2,26,28,30,32,34,36,38,40,42
57,C-5702,3BHK,2,26,28,30,32,34,36,38,40,42
57,C-5703,3BHK,2,26,28,30,32,34,36,38,40,42
57,C-5704,4BHK,3,26,28,30,32,34,36,38,40,42
58,C-5801,3BHK,2,24,26,28,30,32,34,36,38,40
58,C-5802,3BHK,2,24,26,28,30,32,34,36,38,40
58,C-5803,3BHK,2,24,26,28,30,32,34,36,38,40
58,C-5804,4BHK,3,24,26,28,30,32,34,36,38,40
59,C-5901,3BHK,2,22,24,26,28,30,32,34,36,38
59,C-5902,3BHK,2,22,24,26,28,30,32,34,36,38
59,C-5903,3BHK,2,22,24,26,28,30,32,34,36,38
59,C-5904,4BHK,3,22,24,26,28,30,32,34,36,38
60,C-6001,3BHK,2,20,22,24,26,28,30,32,34,36
60,C-6002,3BHK,2,20,22,24,26,28,30,32,34,36
60,C-6003,3BHK,2,20,22,24,26,28,30,32,34,36
60,C-6004,4BHK,3,20,22,24,26,28,30,32,34,36
61,C-6101,3BHK,2,18,20,22,24,26,28,30,32,34
61,C-6102,3BHK,2,18,20,22,24,26,28,30,32,34
61,C-6103,3BHK,2,18,20,22,24,26,28,30,32,34
61,C-6104,4BHK,3,18,20,22,24,26,28,30,32,34
62,C-6201,3BHK,2,16,18,20,22,24,26,28,30,32
62,C-6202,3BHK,2,16,18,20,22,24,26,28,30,32
62,C-6203,3BHK,2,16,18,20,22,24,26,28,30,32
62,C-6204,4BHK,3,16,18,20,22,24,26,28,30,32
63,C-6301,3BHK,2,14,16,18,20,22,24,26,28,30
63,C-6302,3BHK,2,14,16,18,20,22,24,26,28,30
63,C-6303,3BHK,2,14,16,18,20,22,24,26,28,30
63,C-6304,4BHK,3,14,16,18,20,22,24,26,28,30
64,C-6401,3BHK,2,12,14,16,18,20,22,24,26,28
64,C-6402,3BHK,2,12,14,16,18,20,22,24,26,28
64,C-6403,3BHK,2,12,14,16,18,20,22,24,26,28
64,C-6404,4BHK,3,12,14,16,18,20,22,24,26,28
65,C-6501,3BHK,2,10,12,14,16,18,20,22,24,26
65,C-6502,3BHK,2,10,12,14,16,18,20,22,24,26
65,C-6503,3BHK,2,10,12,14,16,18,20,22,24,26
65,C-6504,4BHK,3,10,12,14,16,18,20,22,24,26
