FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9,Rank,Unique_flat_No
18,C-1801,4BHK,3,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1801"
18,C-1801,4BHK,3,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1801"
18,C-1801,4BHK,3,34,32,30,28,26,24,22,20,18,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1801"
18,C-1803,4BHK,3,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1803"
18,C-1803,4BHK,3,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1803"
18,C-1803,4BHK,3,34,32,30,28,26,24,22,20,18,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1803"
19,C-1902,3BHK,2,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1902"
19,C-1902,3BHK,2,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1902"
19,C-1904,3BHK,2,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1904"
19,C-1904,3BHK,2,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1904"
19,C-1905,3BHK,2,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1905"
19,C-1905,3BHK,2,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1905"
19,C-1906,3BHK,2,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1906"
19,C-1906,3BHK,2,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1906"
19,C-1907,3BHK,2,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1907"
19,C-1907,3BHK,2,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1907"
19,C-1901,4BHK,3,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1901"
19,C-1901,4BHK,3,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1901"
19,C-1901,4BHK,3,36,34,32,30,28,26,24,22,20,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1901"
19,C-1903,4BHK,3,36,34,32,30,28,26,24,22,20,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1903"
19,C-1903,4BHK,3,36,34,32,30,28,26,24,22,20,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1903"
19,C-1903,4BHK,3,36,34,32,30,28,26,24,22,20,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1903"
