FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9
35,C-3504,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3505,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3506,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3507,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3503,4BHK,3,68,66,64,62,60,58,56,54,52
36,C-3602,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3604,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3605,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3606,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3607,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3601,4BHK,3,70,68,66,64,62,60,58,56,54
36,C-3603,4BHK,3,70,68,66,64,62,60,58,56,54
37,C-3702,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3704,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3705,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3706,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3707,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3701,4BHK,3,72,70,68,66,64,62,60,58,56
37,C-3703,4BHK,3,72,70,68,66,64,62,60,58,56
38,C-3802,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3804,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3805,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3806,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3807,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3801,4BHK,3,74,72,70,68,66,64,62,60,58
38,C-3803,4BHK,3,74,72,70,68,66,64,62,60,58
39,C-3902,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3904,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3905,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3906,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3907,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3901,4BHK,3,76,74,72,70,68,66,64,62,60
39,C-3903,4BHK,3,76,74,72,70,68,66,64,62,60
40,C-4002,3BHK,2,78,76,74,72,70,68,66,64,62
40,C-4004,3BHK,2,78,76,74,72,70,68,66,64,62
40,C-4005,3BHK,2,78,76,74,72,70,68,66,64,62
40,C-4006,3BHK,2,78,76,74,72,70,68,66,64,62
40,C-4007,3BHK,2,78,76,74,72,70,68,66,64,62
40,C-4001,4BHK,3,78,76,74,72,70,68,66,64,62
40,C-4003,4BHK,3,78,76,74,72,70,68,66,64,62
41,C-4102,3BHK,2,80,78,76,74,72,70,68,66,64
41,C-4104,3BHK,2,80,78,76,74,72,70,68,66,64
41,C-4105,3BHK,2,80,78,76,74,72,70,68,66,64
41,C-4106,3BHK,2,80,78,76,74,72,70,68,66,64
41,C-4107,3BHK,2,80,78,76,74,72,70,68,66,64
41,C-4101,4BHK,3,80,78,76,74,72,70,68,66,64
41,C-4103,4BHK,3,80,78,76,74,72,70,68,66,64
42,C-4204,3BHK,2,82,80,78,76,74,72,70,68,66
42,C-4205,3BHK,2,82,80,78,76,74,72,70,68,66
42,C-4206,3BHK,2,82,80,78,76,74,72,70,68,66
42,C-4207,3BHK,2,82,80,78,76,74,72,70,68,66
42,C-4203,4BHK,3,82,80,78,76,74,72,70,68,66
43,C-4302,3BHK,2,84,82,80,78,76,74,72,70,68
43,C-4304,3BHK,2,84,82,80,78,76,74,72,70,68
43,C-4305,3BHK,2,84,82,80,78,76,74,72,70,68
43,C-4306,3BHK,2,84,82,80,78,76,74,72,70,68
43,C-4307,3BHK,2,84,82,80,78,76,74,72,70,68
43,C-4301,4BHK,3,84,82,80,78,76,74,72,70,68
43,C-4303,4BHK,3,84,82,80,78,76,74,72,70,68
44,C-4402,3BHK,2,86,84,82,80,78,76,74,72,70
44,C-4404,3BHK,2,86,84,82,80,78,76,74,72,70
44,C-4405,3BHK,2,86,84,82,80,78,76,74,72,70
44,C-4406,3BHK,2,86,84,82,80,78,76,74,72,70
